!exclamation-point,ksklmejšnpojnt
"close-quote,klouzkwout
"double-quote,dablkwout
activation,ktvejšn
activator,ektvejtər
active,ektiv
active's,ektivz
actively,ektivli
actives,ektivz
activision,ektivižn
activism,ektivizm
activist,ektivist
activists,ektivists
activists',ektivists
activities,ektivitiz
activity,ektiviti
actmedia,ektmidi
actodine,ektoudajn
acton,ektn
actor,ektər
actor's,ektərz
actors,ektərz
actors',ektərz
actress,ektrs
actress's,ektrsiz
actresses,ektrsiz
acts,ekts
actual,ekčwl
actuality,kčūelti
actualize,ekčūlajz
actually,ekčūli
actuarial,kčūeril
actuaries,ekčūeriz
actuary,ekčūeri
actuate,ekčūejt
actuator,ektjūejtər
actuators,ektjūejtərz
actus,ekts
acuff,kaf
acuity,kjūti
acumen,kjūmn
acuna,akūn
acupuncture,ekjūpngkčər
acura,ekjər
acura's,ekjərz
acuras,ekjərz
acuson,kjūsn
acustar,ekjūstr
acusyst,ekjūsist
acute,kjūt
acutely,kjūtli
acuteness,kjūtns
acyclovir,siklouvir
ad,ed
ad's,edz
ad-hoc,edhak
ad-lib,edlib
ad-nauseam,ednoziam
ad-nauseum,ednozim
ada,ejd
ada's,ejdz
adabel,edbl
adabelle,edbl
adachi,adaki
adage,edƌ
adagio,dažiou
adah,eda
adair,der
adaire,ader
adak,dek
adalah,adal
adalia,adali
adam,edm
adam's,edmz
adamant,edmnt
adamantly,edmntli
adamcik,admčik
adamczak,admček
adamczyk,admčik
adame,adami
adamec,damk
adamek,damk
adames,dejmz
adami,adami
adamik,damik
adamina,adamin
adamkus,edmks
adamo,adamou
adamowicz,damvič
adams,edmz
adams',edmz
adams's,edmziz
adamski,demski
adamson,edmsn
adamstown,edmstoun
adan,ejdn
adapso,depsou
adapt,dept
adaptability,dptbilti
adaptable,deptbl
adaptaplex,deptplks
adaptation,dptejšn
adaptations,deptejšnz
adaptec,deptk
adaptec's,deptks
adapted,deptid
adapter,deptər
adapters,deptərz
adapting,depting
adaptive,deptiv
adaptor,deptər
adaptors,deptərz
adapts,depts
adar,dar
adarand,edrnd
adas,ejdz
aday,dej
adaza,daz
adcock,dkak
adcox,dkaks
add,ed
addair,der
addams,edmz
added,edid
addendum,dendm
addendums,dendmz
addeo,adiou
adder,edər
adderley,dərli
addicks,ediks
addict,edikt
addicted,diktid
addicting,dikting
addiction,dikšn
addictions,dikšnz
addictive,diktiv
addicts,edikts
addidas,dids
addidas',dids
addidas's,didsiz
addidases,didsiz
addie,edi
adding,eding
addington,edingtn
addis,adis
addis-ababa,adisbaba
addison,edisn
addison's,edisnz
addition,dišn
additional,dišnl
additionally,dišnli
additions,dišnz
additive,editiv
additives,editivz
addle,edl
addled,edld
addleman,edlmn
address,edres
addressable,edresbl
addressed,drest
addressee,drsi
addresses,edresiz
addressing,edresing
adds,edz
adduci,adūči
adduct,edkt
addwest,dwest
addy,edi
addyston,edistn
ade,ejd
adee,di
adel,del
adela,del
adelaar,edlr
adelaide,edlejd
adelanto,edlantou
adelbert,delbərt
adele,del
adele's,delz
adeline,edlajn
adelizzi,dlizi
adell,del
adell's,delz
adelle,del
adelman,edlmn
adelmann,edlmn
adelpha,delf
adelphi,delfi
adelphia,delfi
adelphia's,delfiz
adelsberger,edilzbərgər
adelson,edlsn
adelstein,edlstajn
aden,ejdn
adena,edin
adenauer,ejdnour
adenine,ednin
adenoid,ednojd
adenoids,ednojdz
adenoscan,denskn
adenosine,densin
adenovirus,denvajrs
adept,dept
adequacy,edkwsi
adequate,edkwejt
adequately,edkwitli
ader,ejdər
aderhold,edərhould
aderholt,edərhoult
aderman,edərmn
ades,ejdz
adey,ejdi
adger,eƌər
adham,edhem
adhd,ejdiejčdi
adhere,dhir
adhered,edhird
adherence,dhirns
adherent,dhirnt
adherents,edhirnts
adheres,dhirz
adhering,dhiring
adhesion,edhižn
adhesive,edhisiv
adhesives,edhisivz
adia,adi
adid,did
adidas,dids
adidas's,didsiz
adieu,dū
adin,din
adina,adin
adine,adini
adinolfi,adinoulfi
adios,dious
adipose,edpous
adirondack,dərandek
adisq,ejdisk
adjacent,ƌejsnt
adjani,edƌani
adjective,eƌiktiv
adjectives,eƌiktivz
adjoin,ƌojn
adjoining,ƌojning
adjoins,ƌojnz
adjourn,ƌərn
adjourned,ƌərnd
adjourning,ƌərning
adjournment,ƌərnmnt
adjourns,ƌərnz
adjudge,ƌaƌ
adjudged,ƌaƌd
adjudicate,ƌūdikejt
adjudicated,ƌūdkejtid
adjudicating,ƌūdikejting
adjudication,ƌūdkejšn
adjunct,eƌngkt
adjuncts,eƌngkts
adjust,ƌast
adjustable,ƌastbl
adjustables,ƌastblz
adjusted,ƌastid
adjuster,ƌastər
adjusters,ƌastərz
adjusting,ƌasting
adjustment,ƌastmnt
adjustments,ƌastmnts
adjusts,ƌasts
adjutant,eƌtnt
adkins,edkinz
adkinson,edkinsn
adkison,edkisn
adkisson,edkisn
adl-tabataba,dltbtab
adl-tabatabai,dltbtbaj
adlai,adlai
adler,edlər
adler's,edlərz
adlers,edlərz
adley,edli
adlon,edlan
adlong,edlong
adman,edmn
admen,edmn
admin,edmin
administer,dministər
administered,dministərd
administering,edministəring
administers,edministərz
administrate,edministrejt
administrating,dministrejting
administration,edministrejšn
administration's,edministrejšnz
administrations,edministrejšnz
administrations',edministrejšnz
administrative,dministrejtiv
administratively,edministrejtivli
administrator,dministrejtər
administrator's,edministrejtərz
administrators,edministrejtərz
administrators',edministrejtərz
admins,edminz
admira,edmajr
admira's,edmajrz
admirable,edmərbl
admirably,edmərbli
admiral,edmərl
admiral's,edmərlz
admirals,edmərlz
admiralty,edmərlti
admiration,dmərejšn
admirations,dmərejšnz
admire,edmajr
admired,dmajərd
admirer,edmajrər
admirers,dmajrərz
admires,edmajrz
admiring,edmajring
admiringly,edmajringli
admissibility,dmisbilti
admissible,dmisbl
admission,edmišn
admissions,edmišnz
admit,dmit
admits,dmits
admittance,dmitns
admitted,dmitid
admittedly,edmitidli
admitting,edmiting
admonish,edmaniš
admonished,dmaništ
admonishes,edmanišiz
admonishing,edmanišing
admonishment,edmanišmnt
admonition,dmnišn
admonitions,dmnišnz
admonitory,dmonitori
adnan,ednn
adney,edni
ado,dū
adobe,doubi
adobe's,doubiz
adolescence,doulesns
adolescent,doulesnt
adolescents,doulesnts
adolf,ejdalf
adolf's,ejdalfs
adolfo,dalfou
adolph,ejdolf
adolpha,adoulf
adolphson,edoulfsn
adolphus,dolfs
adon,adon
adonia,adouni
adonis,dans
adopt,dapt
adoptable,daptbl
adopted,daptid
adoptee,dapti
adoptees,daptiz
adopter,daptər
adopters,daptərz
adopting,dapting
adoption,dapšn
adoptions,dapšnz
adoptive,daptiv
adopts,dapts
ador,ador
adora,ador
adorabelle,edərbl
adorable,dorbl
adoration,dərejšn
adore,dor
adored,dord
adoree,edəri
adorees,edəriz
adores,dorz
adoring,doring
adorn,dorn
adorna,adorn
adorned,dornd
adorning,dorning
adornment,dornmnt
adorno,adornou
adorns,dornz
adra,ejdr
adragna,adragn
adrda,ejdərd
adrea,adri
adrenal,drinl
adrenalin,drenlin
adrenaline,drenln
adrenergic,drnerƌik
adria,adri
adrian,ejdrin
adriana,ejdrien
adriance,adrins
adriano,adrianou
adriatic,ejdrietik
adriel,dril
adrienne,adrien
adrift,drift
adroit,drojt
adroitly,drojtli
ads,edz
ads',edz
adsit,edsit
adsl,ejdisel
adsorption,dsorpšn
adss,ejdieses
adstar,edstar
adsteam,edstim
adtec,edtk
adulate,eƌlejt
adulation,ƌlejšn
aduliadae,dūliadej
adult,dalt
adulterate,daltərejt
adulterated,daltərejtid
adulterates,daltərejts
adulteration,dltərejšn
adulterer,daltərər
adulterers,daltərərz
adulterous,daltərs
adultery,daltəri
adulthood,dalthud
adults,dalts
adults',dalts
adusdur,edsdər
advacare,edvkr
advalue,edvlū
advance,dvens
advance's,dvensiz
advanced,dvenst
advancement,dvensmnt
advancements,dvensmnts
advancer,dvensər
advancers,dvensərz
advances,dvensiz
advancing,dvensing
advani,edvani
advanta,edvent
advanta's,edventz
advantage,edventiƌ
advantaged,edventiƌd
advantageous,dvntejƌs
advantages,edventiƌiz
advantest,edventst
advection,edvekšn
advent,edvnt
adventist,edvntist
adventists,edvntists
adventure,edvenčər
adventurer,edvenčərər
adventurers,edvenčərərz
adventures,edvenčərz
adventuresome,edvenčərsm
adventurism,edvenčərizm
adventurous,edvenčərs
adverb,edvərb
adverbial,edvərbil
adverbs,edvərbz
adversarial,dvərseril
adversaries,edvərsriz
adversary,edvərsri
adverse,edvərs
adversely,edvərsli
adversity,edvərsiti
advert,edvərt
advertise,edvərtajz
advertised,edvərtajzd
advertisement,dvərtajzmnt
advertisements,edvərtajzmnts
advertiser,edvərtajzər
advertiser's,edvərtajzərz
advertisers,edvərtajzərz
advertisers',edvərtajzərz
advertises,edvərtajziz
advertising,edvərtajzing
advertising's,edvərtajzingz
advertorial,dvərtoril
advertorials,dvərtorilz
advest,edvst
advice,edvajs
advil,edvil
advil's,edvilz
advisability,dvajzbiliti
advisable,dvajzbl
advise,edvajz
advised,edvajzd
advisedly,edvajzdli
advisement,dvajzmnt
adviser,edvajzər
adviser's,dvajzərz
advisers,edvajzərz
advisers',dvajzərz
advises,edvajziz
advising,edvajzing
advisor,edvajzər
advisories,dvajzəriz
advisors,edvajzərz
advisory,edvajzəri
advo,edvou
advocacy,edvksi
advocate,edvkejt
advocate's,edvkts
advocated,edvkejtid
advocates,edvkejts
advocating,edvkejting
advocation,dvkejšn
adweek,edwik
adwell,dwel
ady,ejdi
adz,edz
ae,ej
aegean,ejƌin
aegerter,egərtər
aegis,iƌs
aegon,ejgan
aeltus,elts
aeneas,enis
aeneid,niid
aeolus,eoulus
aequitron,ejkwitran
aer,er
aerial,eril
aerials,erilz
aerie,eri
aerien,erin
aeriens,erinz
aeritalia,ritelj
aero,erou
aerobatic,rbetik
aerobatics,rbetiks
aerobic,roubik
aerobically,roubikli
aerobics,əroubiks
aerodrome,erdroum
aerodromes,erdroumz
aerodynamic,roudajnemik
aerodynamically,roudajnemikli
aerodynamicist,roudajnemisist
aerodynamicists,roudajnemisists
aerodynamics,roudajnemiks
aerodyne,erdajn
aerodyne's,erdajnz
aeroflot,erouflt
aeroflot's,erouflts
aerogenosa,erƌnous
aerojet,erouƌt
aerojets,erouƌts
aerolift,eroulift
aerolifts,eroulifts
aerolineas,roulinis
aeromar,eroumar
aeromexico,roumeksikou
aeromexico's,roumeksikouz
aeronautic,rounatk
aeronautical,rounatkl
aeronauticas,rounotiks
aeronautics,rnotiks
aeroperu,roupejrū
aeroperu's,roupejrūz
aeroquip,erkwip
aeroscience,rousajs
aerosmith,erousmiŧ
aerosmith's,erousmiŧs
aerosol,ersl
aerosols,erslz
aerospace,erouspejs
aerospace's,erouspejsiz
aerospatiale,rouspsial
aerospatiale's,rouspsialz
aerostar,eroustr
aerostar's,eroustrz
aerostars,eroustrz
aerostat,eroustt
aerostat's,eroustts
aerostats,eroustts
aerotech,eroutk
aerovias,rouviz
